carlength,carwidth,curbweight,enginesize,horsepower,Brand
178.5,67.9,3139,181,160,0.0
165.3,63.8,2017,103,55,0.0
173.5,65.4,2455,108,94,0.0
171.7,65.5,2212,109,85,0.0
165.6,63.8,2028,97,69,0.0
208.1,71.7,3900,308,184,2.0
159.1,64.2,1900,91,68,0.0
186.7,68.3,3130,134,142,1.0
184.6,66.5,3060,181,152,0.0
187.5,70.3,3495,183,123,2.0
186.7,68.4,3020,120,97,1.0
189.0,66.9,3055,164,121,2.0
166.3,64.4,2140,98,70,0.0
177.8,66.5,2385,122,84,0.0
155.9,63.6,1874,90,70,0.0
175.6,66.5,2458,122,92,0.0
175.4,65.2,2304,110,86,0.0
198.9,68.4,3430,152,95,1.0
168.7,64.0,2204,98,70,0.0
169.0,65.7,2380,70,101,0.0
175.6,66.5,2414,122,92,0.0
173.2,66.3,2818,156,145,0.0
187.8,66.5,3151,161,156,1.0
169.7,63.6,2290,92,62,0.0
166.8,64.2,1945,91,68,0.0
165.3,63.8,1951,97,69,0.0
172.0,65.4,2340,108,94,0.0
170.7,67.9,3139,181,200,0.0
186.6,66.5,2658,121,110,1.0
169.1,66.0,2293,110,100,0.0
197.0,70.9,3505,209,182,2.0
177.3,66.3,2507,136,110,1.0
158.7,63.6,1985,92,62,0.0
188.8,67.2,3157,130,162,1.0
199.6,69.6,4066,258,176,2.0
168.7,64.0,2265,98,112,0.0
175.0,66.1,2700,134,72,0.0
198.9,68.4,3485,152,95,1.0
166.8,64.2,1950,91,68,0.0
170.2,63.8,2024,97,69,0.0
167.3,63.8,2191,98,68,0.0
165.3,63.8,1889,97,69,0.0
176.2,65.6,2714,146,116,0.0
174.6,64.6,2535,122,88,0.0
176.8,64.8,2710,164,121,2.0
168.9,65.0,2756,194,207,2.0
184.6,66.5,3296,181,152,0.0
188.8,67.2,2935,141,114,1.0
166.3,64.4,2275,110,56,0.0
173.4,65.2,2324,120,97,0.0
173.0,65.4,2328,122,88,0.0
171.7,65.5,2300,109,100,0.0
188.8,67.2,2912,141,114,1.0
176.8,64.8,2765,164,121,2.0
173.2,66.3,2833,156,145,0.0
183.5,67.7,3016,171,161,0.0
171.7,65.5,2209,109,85,0.0
155.9,63.6,1909,90,70,0.0
186.7,68.4,3197,152,95,1.0
157.1,63.9,2024,92,76,0.0
168.7,64.0,2300,98,112,0.0
180.2,66.9,2661,136,110,0.0
166.3,64.4,2275,110,56,0.0
186.7,68.4,3252,152,95,1.0
169.7,63.6,2280,92,62,0.0
188.8,68.9,3012,173,134,1.0
157.3,63.8,1918,90,68,0.0
188.8,67.2,3045,130,162,1.0
178.4,68.0,2910,140,175,1.0
157.3,63.8,1876,90,68,0.0
165.3,63.8,1918,97,69,0.0
171.7,65.5,2275,109,85,0.0
171.2,65.5,2823,152,154,1.0
202.6,71.7,3770,183,123,2.0
172.4,65.4,2365,122,88,0.0
169.7,63.6,3110,92,62,0.0
192.7,71.4,2844,136,110,1.0
176.2,65.6,2540,146,116,0.0
168.8,64.1,2548,130,111,1.0
166.3,64.4,2094,98,70,0.0
157.3,64.4,1944,92,68,0.0
198.9,68.4,3285,120,95,1.0
175.0,66.1,2670,140,120,0.0
169.0,65.7,2380,70,101,0.0
188.8,68.9,2952,141,114,1.0
172.4,65.4,2403,110,116,0.0
159.3,64.2,2254,109,90,0.0
172.6,65.2,2734,119,90,0.0
199.2,72.0,3715,304,184,2.0
165.3,63.8,1938,97,69,0.0
173.6,65.4,2420,108,82,0.0
172.4,65.4,2403,110,116,0.0
188.8,68.9,3217,145,106,1.0
176.8,64.8,2395,108,101,2.0
150.0,64.0,1837,79,60,0.0
173.2,66.3,2921,156,145,0.0
166.3,64.4,2122,98,70,0.0
173.4,65.2,2302,120,97,0.0
168.9,68.3,2778,151,143,2.0
157.3,63.8,2128,98,102,0.0
168.9,65.0,2756,194,207,2.0
178.2,67.9,3053,131,160,1.0
175.6,66.5,2414,122,92,0.0
170.7,67.9,3071,181,160,0.0
171.7,65.5,2319,97,68,0.0
186.6,66.5,2758,121,110,1.0
186.7,68.4,3075,120,95,1.0
183.1,66.9,2563,109,88,0.0
177.8,66.5,2425,122,84,0.0
189.0,66.9,3230,209,182,2.0
175.4,65.2,2465,110,101,0.0
176.2,65.6,2536,146,116,0.0
198.9,68.4,3230,120,97,1.0
173.0,65.4,2370,110,116,0.0
159.1,64.2,1905,91,68,0.0
157.3,63.8,1989,90,68,0.0
157.3,64.4,1918,92,68,0.0
170.7,61.8,2337,111,78,0.0
157.3,63.8,1967,90,68,0.0
176.6,66.2,2337,109,102,1.0
175.6,66.5,2480,110,73,0.0
191.7,70.6,3950,326,262,2.0
173.6,65.4,2650,108,111,0.0
176.8,66.6,2460,132,90,0.0
188.8,67.2,3034,141,114,1.0
144.6,63.9,1713,92,58,0.0
167.3,63.8,1989,90,68,0.0
186.7,68.4,3075,120,97,1.0
187.8,66.5,3131,171,156,0.0
192.7,71.4,3086,131,140,1.0
177.8,66.5,2410,122,84,0.0
168.9,65.0,2800,194,207,2.0
168.8,64.1,2548,130,111,1.0
169.0,65.7,2385,70,101,0.0
157.3,63.8,1876,90,68,0.0
177.8,66.5,2385,122,84,0.0
177.8,66.5,2443,122,64,0.0
192.7,71.4,2954,136,110,1.0
188.8,68.8,3049,141,160,1.0
172.0,65.4,2145,108,82,0.0
172.4,65.4,2405,122,88,0.0
165.3,63.8,1971,97,69,0.0
190.9,70.3,3750,183,123,2.0
159.1,64.2,1890,91,68,0.0
172.0,65.4,2190,108,82,0.0
166.3,64.4,2109,98,70,0.0
166.3,64.4,2081,98,70,0.0
157.9,63.6,2120,108,73,0.0
173.5,65.4,2290,108,82,0.0
181.7,66.5,3095,181,152,0.0
158.8,63.6,1909,90,70,0.0
183.5,67.7,2976,171,161,0.0
157.3,63.8,1989,90,68,0.0
186.6,66.5,2707,121,110,1.0
202.6,71.7,3740,234,155,2.0
175.7,72.3,3366,203,288,2.0
172.0,65.4,2385,108,82,0.0
180.2,66.9,2579,97,68,0.0
157.3,63.8,2145,98,102,0.0
186.6,66.5,2695,121,110,1.0
186.6,66.5,2847,121,160,1.0
180.3,70.5,3685,234,155,2.0
157.3,63.8,2240,108,73,0.0
167.5,65.2,2236,110,86,0.0
