Na,Mg,Al,Ba,Type
13.64,4.49,1.1,0.0,1
13.89,3.6,1.36,0.0,1
13.53,3.55,1.54,0.0,1
13.21,3.69,1.29,0.0,1
13.27,3.62,1.24,0.0,1
12.79,3.61,1.62,0.0,1
13.3,3.6,1.14,0.0,1
13.15,3.61,1.05,0.0,1
14.04,3.58,1.37,0.0,1
13.0,3.6,1.36,0.0,1
12.72,3.46,1.56,0.0,1
12.8,3.66,1.27,0.0,1
12.88,3.43,1.4,0.0,1
12.86,3.56,1.27,0.0,1
12.61,3.59,1.31,0.0,1
12.81,3.54,1.23,0.0,1
12.68,3.67,1.16,0.0,1
14.36,3.85,0.89,0.0,1
13.9,3.73,1.18,0.0,1
13.02,3.54,1.69,0.0,1
12.82,3.55,1.49,0.0,1
14.77,3.75,0.29,0.0,1
12.78,3.62,1.29,0.0,1
12.81,3.57,1.35,0.0,1
13.38,3.5,1.15,0.0,1
12.98,3.54,1.21,0.0,1
13.21,3.48,1.41,0.0,1
12.87,3.48,1.33,0.0,1
12.56,3.52,1.43,0.0,1
13.08,3.49,1.28,0.0,1
12.65,3.56,1.3,0.0,1
12.84,3.5,1.14,0.0,1
12.85,3.48,1.23,0.09,1
12.57,3.47,1.38,0.0,1
12.69,3.54,1.34,0.0,1
13.29,3.45,1.21,0.0,1
13.89,3.53,1.32,0.11,1
12.74,3.48,1.35,0.0,1
14.21,3.82,0.47,0.0,1
14.21,3.82,0.47,0.0,1
12.79,3.5,1.12,0.0,1
12.71,3.42,1.2,0.0,1
13.21,3.39,1.33,0.0,1
13.73,3.84,0.72,0.0,1
12.73,3.43,1.19,0.0,1
13.49,3.48,1.35,0.0,1
13.19,3.37,1.18,0.0,1
13.99,3.7,0.71,0.0,1
13.21,3.77,0.79,0.0,1
13.58,3.35,1.23,0.0,1
13.72,3.72,0.51,0.0,1
13.2,3.33,1.28,0.0,1
13.43,2.87,1.19,0.0,1
13.14,2.84,1.28,0.0,1
13.21,2.81,1.29,0.0,1
12.45,2.71,1.29,0.0,1
12.99,3.47,1.12,0.0,1
12.87,3.48,1.29,0.0,1
13.48,3.74,1.17,0.0,1
13.39,3.66,1.19,0.0,1
13.6,3.62,1.11,0.0,1
13.81,3.58,1.32,0.69,1
13.51,3.86,0.88,0.0,1
14.17,3.81,0.78,0.0,1
13.48,3.74,0.9,0.0,1
13.69,3.59,1.12,0.0,1
13.05,3.65,0.87,0.0,1
13.05,3.65,0.87,0.0,1
13.12,3.58,0.9,0.0,1
13.31,3.58,0.82,0.0,1
14.86,3.67,1.74,0.0,2
13.64,3.87,1.27,0.0,2
13.09,3.59,1.52,0.0,2
13.34,3.57,1.57,0.0,2
13.02,3.56,1.54,0.0,2
13.02,3.58,1.51,0.0,2
13.44,3.61,1.54,0.0,2
13.0,3.58,1.54,0.0,2
13.92,3.52,1.25,0.0,2
12.82,3.52,1.9,0.0,2
12.86,3.52,2.12,0.0,2
13.25,3.45,1.43,0.0,2
13.41,3.55,1.25,0.0,2
13.09,3.52,1.55,0.0,2
14.25,3.09,2.08,0.0,2
13.36,3.58,1.49,0.0,2
13.24,3.49,1.47,0.0,2
13.4,3.49,1.52,0.0,2
13.01,3.5,1.48,0.0,2
12.55,3.48,1.87,0.0,2
12.93,3.74,1.11,0.0,2
12.9,3.44,1.45,0.0,2
13.12,3.41,1.58,0.0,2
13.24,3.34,1.47,0.0,2
12.71,3.33,1.49,0.0,2
13.36,3.43,1.43,0.0,2
13.02,3.62,1.06,0.0,2
12.2,3.25,1.16,0.0,2
12.67,2.88,1.71,0.0,2
12.96,2.96,1.43,0.14,2
12.75,2.85,1.44,0.11,2
12.35,2.72,1.63,0.0,2
12.62,2.76,0.83,0.0,2
13.8,3.15,0.66,0.0,2
13.83,2.9,1.17,0.0,2
11.45,0.0,1.88,0.0,2
10.73,0.0,2.1,3.15,2
12.3,0.0,1.0,0.0,2
14.43,0.0,1.0,0.0,2
13.72,0.0,0.56,0.0,2
11.23,0.0,0.77,0.0,2
11.02,0.0,0.75,0.0,2
12.64,0.0,0.67,0.0,2
13.46,3.83,1.26,0.0,2
13.1,3.97,1.19,0.0,2
13.41,3.89,1.33,0.0,2
13.24,3.9,1.41,0.0,2
13.72,3.68,1.81,0.0,2
13.3,3.64,1.53,0.0,2
13.56,3.57,1.47,0.0,2
13.25,3.76,1.32,0.0,2
12.93,3.54,1.62,0.0,2
13.23,3.54,1.48,0.0,2
13.48,3.48,1.71,0.0,2
13.2,3.68,1.15,0.0,2
12.93,3.66,1.56,0.0,2
12.94,3.61,1.26,0.0,2
13.78,2.28,1.43,0.0,2
13.55,2.09,1.67,0.27,2
13.98,1.35,1.63,0.0,2
13.75,1.01,1.36,0.0,2
13.7,0.0,1.36,0.0,2
13.43,3.98,1.18,0.0,2
13.71,3.93,1.54,0.0,2
13.33,3.85,1.25,0.0,2
13.19,3.9,1.3,0.0,2
13.0,3.8,1.08,0.0,2
12.89,3.62,1.57,0.0,2
12.79,3.52,1.54,0.0,2
12.87,3.56,1.64,0.0,2
13.33,3.54,1.61,0.0,2
13.2,3.63,1.07,0.09,2
12.85,3.51,1.44,0.06,2
13.0,3.47,1.79,0.0,2
12.99,3.18,1.23,0.0,2
12.85,3.67,1.24,0.0,2
13.65,3.66,1.11,0.0,3
13.33,3.53,1.34,0.0,3
13.24,3.57,1.38,0.0,3
12.16,3.52,1.35,0.0,3
13.14,3.45,1.76,0.0,3
14.32,3.9,0.83,0.0,3
13.64,3.65,0.65,0.0,3
13.42,3.4,1.22,0.0,3
12.86,3.58,1.31,0.0,3
13.04,3.4,1.26,0.0,3
13.41,3.39,1.28,0.0,3
14.03,3.76,0.58,0.0,3
13.53,3.41,1.52,0.0,3
13.5,3.36,1.63,0.0,3
13.33,3.34,1.54,0.0,3
13.64,3.54,0.75,0.15,3
14.19,3.78,0.91,0.0,3
14.01,2.68,3.5,2.2,5
12.73,1.85,1.86,0.0,5
11.56,1.88,1.56,0.0,5
11.03,1.71,1.56,0.0,5
12.64,0.0,1.65,0.0,5
12.86,0.0,1.83,0.0,5
13.27,0.0,1.76,0.0,5
13.44,0.0,1.58,0.0,5
13.02,0.0,3.04,0.0,5
13.0,0.0,3.02,0.0,5
13.38,0.0,1.4,0.0,5
12.85,1.61,2.17,0.24,5
12.97,0.33,1.51,0.0,5
14.0,2.39,1.56,0.0,6
13.79,2.41,1.19,0.0,6
14.46,2.24,1.62,0.0,6
14.09,2.19,1.66,0.0,6
14.4,1.74,1.54,0.0,6
14.99,0.78,1.74,0.0,6
14.15,0.0,2.09,0.0,6
14.56,0.0,0.56,0.0,6
17.38,0.0,0.34,0.0,6
13.69,3.2,1.81,1.19,7
14.32,3.26,2.22,1.63,7
13.44,3.34,1.23,0.0,7
14.86,2.2,2.06,0.0,7
15.79,1.83,1.31,1.68,7
13.88,1.78,1.79,0.76,7
14.85,0.0,2.38,0.64,7
14.2,0.0,2.79,0.4,7
14.75,0.0,2.0,1.59,7
14.56,0.0,1.98,1.57,7
14.14,0.0,2.68,0.61,7
13.87,0.0,2.54,0.81,7
14.7,0.0,2.34,0.66,7
14.38,0.0,2.66,0.64,7
15.01,0.0,2.51,0.53,7
15.15,0.0,2.25,0.63,7
11.95,0.0,1.19,0.0,7
14.85,0.0,2.42,0.56,7
14.8,0.0,1.99,1.71,7
14.95,0.0,2.27,0.67,7
14.95,0.0,1.8,1.55,7
14.94,0.0,1.87,1.38,7
14.39,0.0,1.82,2.88,7
14.37,0.0,2.74,0.54,7
14.14,0.0,2.88,1.06,7
14.92,0.0,1.99,1.59,7
14.36,0.0,2.02,1.64,7
14.38,0.0,1.94,1.57,7
14.23,0.0,2.08,1.67,7
